dataset,pair_index,left_index,right_index,component_id,component_split,is_sentinel,potency_difference,mcs_atoms,match,rationale_left,rationale_right,rationale_valid,rationale_failure_reason
CHEMBL1862_Ki,266,456,533,22,test,True,1.414973347970819,21.0,"[[6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26]]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 27, 28]",True,
CHEMBL1862_Ki,543,576,727,25,test,True,3.330413773349191,21.0,"[[1, 11], [2, 12], [3, 13], [4, 21], [5, 22], [6, 10], [7, 17], [8, 18], [9, 19], [10, 14], [12, 6], [13, 7], [14, 8], [15, 9], [16, 2], [17, 1], [18, 0], [20, 23], [21, 24], [24, 15], [25, 16]]","[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25]",True,
CHEMBL1862_Ki,620,616,664,24,calibration,True,2.64781748188864,30.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 26], [26, 25], [27, 27], [28, 28], [29, 29], [30, 30]]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",True,
CHEMBL1862_Ki,693,693,729,26,calibration,True,1.6283889300503098,20.0,"[[1, 23], [2, 22], [3, 21], [4, 19], [5, 20], [6, 18], [7, 17], [8, 16], [10, 14], [11, 13], [12, 12], [13, 5], [14, 6], [15, 7], [16, 8], [17, 9], [18, 10], [19, 11], [20, 4], [21, 3]]","[0, 1, 2, 7, 8, 9, 10, 11, 20, 21, 22, 23, 24]","[0, 1, 2, 3, 4, 13, 14, 15, 16, 17, 22, 23, 24]",True,
CHEMBL1862_Ki,715,709,711,27,test,True,1.8195439355418688,25.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [29, 29]]","[22, 23, 24, 25, 26, 27, 28]","[22, 23, 24, 25, 26, 27, 28]",True,
CHEMBL1871_Ki,2,9,11,1,test,True,1.429673476956717,24.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 21], [20, 22], [21, 23], [22, 24], [23, 26], [24, 25], [25, 27]]","[8, 9, 10, 11, 12]","[8, 9, 10, 11, 12, 13, 14]",True,
CHEMBL1871_Ki,12,37,61,5,calibration,True,1.685741738602264,23.0,"[[1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22]]","[0, 1, 2]",[],True,
CHEMBL1871_Ki,13,91,92,6,test,True,1.0778867756946262,22.0,"[[1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 19], [20, 18], [21, 20], [22, 21]]","[0, 1, 2, 13, 18, 21, 22, 23]","[12, 17, 20, 21]",True,
CHEMBL1871_Ki,16,102,152,8,calibration,True,1.0861099489176205,21.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 5], [5, 4], [6, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21]]","[3, 6, 7, 8, 11, 12, 13, 14]","[10, 11, 12, 13]",True,
CHEMBL1871_Ki,17,103,106,4,calibration,True,1.0805195968198875,23.0,"[[0, 2], [1, 1], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23]]",[],"[0, 1, 2, 3]",True,
CHEMBL1871_Ki,21,145,149,10,calibration,True,1.1600044391622264,20.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20]]","[13, 14, 15, 16]","[13, 14, 15, 16]",True,
CHEMBL1871_Ki,23,173,175,11,calibration,True,1.113943352306837,25.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25]]","[2, 3, 4, 6, 7]","[2, 3, 4, 6, 7, 8]",True,
CHEMBL1871_Ki,25,182,185,12,test,True,1.079181246047625,32.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [18, 19], [19, 18], [20, 17], [21, 22], [23, 21], [24, 20], [25, 23], [26, 24], [27, 25], [28, 26], [29, 27], [30, 28], [31, 29], [32, 30], [33, 31]]","[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[14, 15, 16, 17, 18, 22]",True,
CHEMBL1871_Ki,35,228,239,9,test,True,1.9738971974357948,19.0,"[[1, 3], [2, 4], [3, 5], [4, 6], [5, 7], [6, 8], [7, 9], [8, 10], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 2]]","[0, 1, 2, 19]","[0, 1, 2, 3, 20]",True,
CHEMBL1871_Ki,43,248,252,18,test,True,1.984777267009341,18.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18]]","[16, 17, 18]","[0, 1, 2]",True,
CHEMBL1871_Ki,48,258,271,19,test,True,1.4189866588716162,17.0,"[[1, 2], [2, 1], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17]]","[0, 1, 2, 3]","[0, 1, 2]",True,
CHEMBL1871_Ki,53,313,315,14,test,True,3.3010299956639795,22.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 18], [17, 17], [18, 16], [19, 19], [20, 20], [21, 21], [22, 22]]","[2, 3, 4, 5]","[2, 3, 4, 5]",True,
CHEMBL1871_Ki,68,336,338,21,calibration,True,1.9232082756993565,23.0,"[[4, 2], [5, 1], [6, 3], [7, 4], [8, 5], [9, 6], [10, 7], [11, 8], [12, 9], [13, 10], [14, 11], [15, 12], [16, 13], [17, 14], [18, 15], [19, 16], [20, 17], [21, 18], [22, 21], [23, 20], [24, 19], [25, 22], [26, 23]]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3]",True,
CHEMBL1871_Ki,78,408,409,25,test,True,1.193124598354462,25.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 23], [25, 24]]","[5, 6, 7, 8]",[],True,
CHEMBL1871_Ki,79,448,471,26,calibration,True,1.043664501054831,21.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 18], [12, 17], [13, 13], [14, 14], [15, 15], [16, 16], [17, 12], [18, 11], [24, 25], [25, 26]]","[7, 8, 9, 19, 20, 21, 22, 23]","[7, 8, 9, 19, 20, 21, 22, 23, 24]",True,
CHEMBL1871_Ki,99,526,527,32,calibration,True,1.0457574905606748,29.0,"[[0, 24], [1, 22], [2, 23], [3, 21], [4, 14], [5, 15], [6, 16], [7, 17], [8, 18], [9, 19], [10, 20], [11, 11], [12, 10], [13, 9], [14, 7], [15, 8], [16, 6], [17, 5], [18, 26], [19, 27], [20, 28], [21, 29], [22, 1], [24, 2], [25, 3], [26, 4], [27, 12], [28, 13], [29, 25]]","[21, 22, 23, 24]","[0, 1, 2, 29]",True,
CHEMBL1871_Ki,125,574,576,35,test,True,1.0251681251805502,32.0,"[[2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26], [27, 30], [29, 29], [30, 28], [31, 27], [32, 31], [33, 32], [34, 33]]","[0, 1, 2, 3, 4, 26, 27, 28, 29, 30]","[0, 1, 2, 3, 4, 26, 28, 29, 30]",True,
CHEMBL1871_Ki,128,597,605,37,test,True,2.1249387366083,26.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [7, 9], [8, 10], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 21], [20, 22], [21, 23], [22, 24], [23, 25], [24, 26], [25, 27], [26, 28], [27, 29], [28, 30]]","[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7, 8, 9]",True,
CHEMBL1871_Ki,132,602,609,38,test,True,1.4685210829577446,30.0,"[[2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29], [30, 30], [31, 31]]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",True,
CHEMBL2034_Ki,9,14,69,1,test,True,3.1760912590556813,25.0,"[[1, 2], [2, 4], [3, 5], [4, 6], [5, 7], [6, 8], [7, 9], [8, 10], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 21], [20, 22], [21, 23], [22, 24], [23, 26], [24, 25], [25, 27]]","[0, 1, 2]","[0, 1, 2, 3, 4]",True,
CHEMBL2034_Ki,97,40,446,2,calibration,True,2.474022769603075,24.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25]]","[2, 3, 4, 5, 10, 11, 12, 13, 14, 15]","[2, 3, 4, 5, 10, 11, 12, 13, 14, 15]",True,
CHEMBL2034_Ki,104,49,104,3,test,True,1.4194049627698924,29.0,"[[0, 0], [1, 1], [2, 2], [4, 3], [5, 5], [6, 4], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 23], [25, 24], [26, 25], [27, 26], [28, 27], [29, 28]]","[0, 1, 2, 3, 4, 13]","[0, 1, 2, 3, 12]",True,
CHEMBL2034_Ki,105,50,52,4,calibration,True,1.4191984684208228,23.0,"[[0, 0], [1, 1], [2, 22], [3, 21], [4, 20], [5, 19], [6, 18], [7, 17], [8, 15], [9, 16], [10, 14], [11, 13], [12, 12], [13, 4], [14, 5], [15, 6], [16, 7], [17, 8], [18, 9], [19, 10], [20, 11], [21, 3], [22, 2]]","[1, 2, 3, 4, 13]","[1, 4, 20, 21, 22]",True,
CHEMBL2034_Ki,134,109,114,8,test,True,1.219037772282527,27.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 5], [5, 4], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [26, 25], [27, 26]]","[23, 24, 25, 26]",[],True,
CHEMBL2034_Ki,137,165,172,9,test,True,1.4771212547196608,31.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [22, 21], [23, 22], [26, 24], [27, 25], [28, 26], [29, 27], [30, 28], [31, 30], [32, 29], [33, 31]]","[17, 19, 20, 21, 22, 23, 24, 25]","[17, 21, 22, 23]",True,
CHEMBL2034_Ki,148,211,221,13,calibration,True,1.0438315695246363,28.0,"[[0, 16], [1, 15], [2, 14], [3, 13], [4, 12], [5, 11], [6, 10], [7, 7], [8, 8], [9, 9], [10, 6], [11, 28], [12, 29], [13, 3], [14, 1], [17, 4], [18, 5], [19, 27], [20, 19], [21, 20], [22, 21], [23, 26], [24, 25], [25, 24], [26, 23], [27, 22], [28, 18], [29, 17]]","[13, 14, 15, 16]","[0, 1, 2, 3]",True,
CHEMBL2034_Ki,154,251,256,16,test,True,1.1670900149408912,36.0,"[[1, 3], [2, 2], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 37], [29, 36], [30, 31], [31, 32], [32, 35], [33, 34], [34, 33], [35, 30], [36, 29], [37, 38]]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6]",True,
CHEMBL2034_Ki,159,259,268,18,calibration,True,1.3010299956639813,30.0,"[[5, 0], [6, 1], [7, 2], [8, 3], [9, 4], [10, 5], [11, 6], [12, 7], [13, 8], [14, 9], [15, 10], [16, 11], [17, 12], [18, 13], [19, 14], [20, 15], [21, 16], [22, 17], [23, 18], [24, 19], [25, 20], [26, 21], [27, 22], [28, 23], [29, 28], [30, 27], [31, 26], [32, 25], [33, 24], [34, 30]]","[0, 1, 2, 3, 4, 5, 6]","[23, 27, 28, 29]",True,
CHEMBL2034_Ki,161,279,282,19,calibration,True,2.8846065812979305,24.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 12], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23]]","[2, 3, 4, 5, 12, 13]","[2, 3, 4, 5, 12, 13]",True,
CHEMBL2034_Ki,176,300,301,20,test,True,1.2342172268589655,21.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24]]","[4, 5, 6, 7, 8, 9]","[4, 5, 6, 7, 8, 9]",True,
CHEMBL2034_Ki,214,369,371,24,calibration,True,1.014723256820707,36.0,"[[2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 23], [25, 24], [26, 25], [27, 26], [28, 27], [29, 28], [30, 29], [31, 30], [32, 31], [33, 32], [34, 34], [35, 33], [36, 35], [37, 36]]","[0, 1, 2, 3, 4]","[0, 1, 2, 3]",True,
CHEMBL2034_Ki,227,400,401,27,calibration,True,3.528273777167043,31.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 22], [22, 23], [23, 24], [24, 26], [25, 25], [26, 27], [27, 28], [28, 29], [29, 30], [30, 31]]",[],"[17, 20, 21, 22]",True,
CHEMBL2034_Ki,230,423,493,29,calibration,True,1.8367459656494909,21.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [24, 24]]","[11, 18, 19, 20, 21, 22, 23, 24]","[11, 18, 19, 20, 21, 22, 23, 24]",True,
CHEMBL2034_Ki,232,488,490,31,test,True,1.3802112417116064,31.0,"[[2, 2], [3, 1], [4, 31], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 22], [22, 21], [23, 23], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29], [30, 30], [31, 4], [32, 3]]","[0, 1, 2, 3, 32]","[0, 1, 2, 31]",True,
CHEMBL2034_Ki,238,512,517,34,test,True,1.0969100130080562,22.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [13, 13], [14, 14], [15, 25], [16, 24], [17, 17], [18, 18], [19, 23], [20, 22], [21, 21], [22, 20], [23, 19], [24, 16], [25, 15], [26, 26]]","[6, 7, 8, 9, 10, 11, 12]","[6, 7, 8, 9, 10, 11, 12]",True,
CHEMBL2034_Ki,250,569,588,36,test,True,1.4210053127407312,33.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 23], [25, 24], [26, 25], [27, 26], [28, 32], [29, 31], [30, 29], [32, 28], [33, 27], [34, 33]]","[1, 11, 12, 13, 14, 18, 19, 29, 30, 31, 32]","[1, 11, 12, 13, 17, 18, 28, 29, 30, 31]",True,
CHEMBL2034_Ki,258,596,601,38,test,True,1.6454222693490923,36.0,"[[1, 3], [2, 4], [3, 5], [4, 6], [5, 7], [6, 8], [7, 10], [8, 9], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 16], [15, 17], [16, 18], [17, 19], [18, 20], [19, 21], [20, 22], [21, 23], [22, 24], [23, 26], [24, 27], [25, 28], [26, 29], [27, 30], [28, 31], [29, 32], [30, 33], [31, 34], [32, 35], [33, 36], [34, 37], [35, 38], [36, 39]]","[0, 1, 2, 3, 21, 22, 23, 24]","[0, 1, 2, 3, 4, 5, 23, 24, 25, 26, 27]",True,
CHEMBL2034_Ki,266,617,621,40,calibration,True,1.1375842621349443,24.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 10], [9, 9], [10, 8], [11, 16], [12, 12], [17, 11], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 24], [25, 23], [26, 25], [27, 26]]","[6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]","[6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",True,
CHEMBL2034_Ki,267,626,628,41,test,True,1.0028856882374884,22.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [16, 14], [17, 15], [18, 16], [19, 17], [20, 18], [21, 19], [22, 20], [23, 22], [24, 21]]","[7, 10, 11, 12, 13, 14, 15]","[7, 11, 12, 13]",True,
CHEMBL2034_Ki,268,641,643,42,calibration,True,1.273460599956267,20.0,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 17], [13, 16], [14, 14], [15, 13], [17, 12], [18, 18], [19, 19], [20, 20]]","[14, 15, 16, 17]","[13, 14, 15, 16]",True,
CHEMBL2034_Ki,278,683,692,44,calibration,True,1.079181246047625,38.0,"[[1, 0], [2, 1], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16], [18, 17], [19, 18], [20, 19], [21, 20], [22, 21], [23, 22], [24, 23], [25, 24], [26, 25], [27, 26], [28, 27], [29, 28], [30, 29], [31, 30], [32, 31], [33, 32], [34, 33], [35, 34], [36, 35], [37, 36], [38, 37], [39, 38], [40, 39], [41, 40]]","[0, 1, 2, 3, 4, 5, 6, 7, 12, 13, 14, 15, 28]","[0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 27]",True,
CHEMBL2034_Ki,308,726,737,46,test,True,2.600037992346177,24.0,"[[1, 1], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26]]","[0, 1, 2, 3, 8, 9, 10, 11, 19, 20, 21, 24, 26, 27]","[0, 1, 2, 3, 8, 9, 10, 11, 19, 20, 21, 24, 26, 27]",True,
