dataset,representation,predictor,seed,variant,permutation_seed,best_step,path,sha256
CHEMBL1871_Ki,morgan,xgboost,11,label_permuted,20261913.0,7,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1871_Ki--morgan--seed11.json,06de315f893d3d87249805a132d0a65182355388331d3c305e23f2fd1b8634e0
CHEMBL1871_Ki,morgan,xgboost,23,trained,,296,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL1871_Ki--morgan--seed23.json,2aed87e712ee7762638b39bca1c4c3ac333722104b31274f9175101bd39ddf50
CHEMBL1871_Ki,morgan,xgboost,23,label_permuted,20261925.0,50,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1871_Ki--morgan--seed23.json,01d6235ecd2fa249079e05435cf2f26506292de77f096683d9a15070d77e4d5b
CHEMBL1871_Ki,morgan,xgboost,42,trained,,942,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL1871_Ki--morgan--seed42.json,38e05f1e4f7086120d4c02d5bf1d34fc727c2434528ff989ea3ba8e0354becf6
CHEMBL1871_Ki,morgan,xgboost,42,label_permuted,20261944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL1871_Ki--morgan--seed42.json,c196dd05d40f9b6877604e970f3f23b33b89dee5b6e4ca2bd9ea6c06e1a8d976
CHEMBL1871_Ki,morgan,mlp,11,trained,,20,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL1871_Ki--morgan--seed11.pt,0ef17f287ed664a136c7cab369caf9a164c151f3239427390e0d72c1902a5aa9
CHEMBL1871_Ki,morgan,mlp,11,label_permuted,20261913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1871_Ki--morgan--seed11.pt,eefa836076e2eef6617f51a7a6e7c2c0e868a2dcd505e67bc5ea78c04b184a22
CHEMBL1871_Ki,morgan,mlp,23,trained,,24,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL1871_Ki--morgan--seed23.pt,92e465db19acc26f53fdaeb5c69bd358ab61c6d21c6a3b4d42a9748f05b1d956
CHEMBL1871_Ki,morgan,mlp,23,label_permuted,20261925.0,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1871_Ki--morgan--seed23.pt,30bf79afd8e53a7878c9c39477aab7cc72e084b3853349d2d2600a442d23af1b
CHEMBL1871_Ki,morgan,mlp,42,trained,,14,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL1871_Ki--morgan--seed42.pt,c1beb4b95736e50717801c584ea7a00c5a4fda3dd41e28d9745a693626c50b19
CHEMBL1871_Ki,morgan,mlp,42,label_permuted,20261944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL1871_Ki--morgan--seed42.pt,f311541b34ea612006aec5832ee1e6b7fa788ebda3d16865cdae2f5a193166b6
CHEMBL2034_Ki,morgan,xgboost,11,trained,,38,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2034_Ki--morgan--seed11.json,5bdf4a12080ed6aa5e37841bd480bbecda0f4a1655521bceff3a3c8c7217a406
CHEMBL2034_Ki,morgan,xgboost,11,label_permuted,20262913.0,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2034_Ki--morgan--seed11.json,c8f8cb9df1733a572c511bca71d9e35076e4b26b80a4a2e4e191cfd0b5c2f827
CHEMBL2034_Ki,morgan,xgboost,23,trained,,44,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2034_Ki--morgan--seed23.json,50f93786f20996b72227fe500bd10ed207db449ea79fa82eb8821e379f4173e9
CHEMBL2034_Ki,morgan,xgboost,23,label_permuted,20262925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2034_Ki--morgan--seed23.json,76cf37a6740b8827c73b5f95b4c7a67db22746805900bd3cda4f175c3ad53b59
CHEMBL2034_Ki,morgan,xgboost,42,trained,,26,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2034_Ki--morgan--seed42.json,444c395a775b8d76c2146f437263f45cb2ad22285c1b9c533ecbc68544f5498f
CHEMBL2034_Ki,morgan,xgboost,42,label_permuted,20262944.0,91,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2034_Ki--morgan--seed42.json,6d6a73f12c953cdc48f7d9ca16433434b28c322a8d1f3b0fe987838595828a9a
CHEMBL2034_Ki,morgan,mlp,11,trained,,4,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2034_Ki--morgan--seed11.pt,78a807d17cef494080f12a0c6dbb1b935e77734e6cb405c941aad5b4f5b66a93
CHEMBL2034_Ki,morgan,mlp,11,label_permuted,20262913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2034_Ki--morgan--seed11.pt,7218d5ddd1f832bf840563988b4a5321360e374f5054c1fe397510c3c10751f3
CHEMBL2034_Ki,morgan,mlp,23,trained,,3,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2034_Ki--morgan--seed23.pt,dd5be486b4b09841f8f87f745fb8c0f00b890cef32803bc5c1741ee1b921b247
CHEMBL2034_Ki,morgan,mlp,23,label_permuted,20262925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2034_Ki--morgan--seed23.pt,dec36fda143065b3568ee797ae466558d70cdc4f7edff87c452b5a5433292322
CHEMBL2034_Ki,morgan,mlp,42,trained,,3,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2034_Ki--morgan--seed42.pt,50a9478e09ed474cc7ee42ccb23277f438f51d3a56be814b8d1b3683a1572c8b
CHEMBL2034_Ki,morgan,mlp,42,label_permuted,20262944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2034_Ki--morgan--seed42.pt,46de757e83805b866a0aa2443296a95b22dc83bd7d14b587b7e1ab1bc6a0b416
CHEMBL204_Ki,morgan,xgboost,11,trained,,641,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL204_Ki--morgan--seed11.json,773d2022beaf21e2273e6b7f08b48b8d0e1d2fb1c30cbe95a644e2499e6e6b1a
CHEMBL204_Ki,morgan,xgboost,11,label_permuted,20263913.0,3,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL204_Ki--morgan--seed11.json,6d8e358680128852a8775d3ad04a280d263461ea3ecefa55f508dfdd8684b53a
CHEMBL204_Ki,morgan,xgboost,23,trained,,999,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL204_Ki--morgan--seed23.json,4b0c7419dcce0e645ef109dfdff86a009c7c9d17caa8d5e6f3118efda754cfc4
CHEMBL204_Ki,morgan,xgboost,23,label_permuted,20263925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL204_Ki--morgan--seed23.json,55ca5879f70190dcbec2f5cbb82b1512ef11a636286a3c178c2daa6b003313c2
CHEMBL204_Ki,morgan,xgboost,42,trained,,944,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL204_Ki--morgan--seed42.json,094cb0f48e631d37dae80c068a161ceef0725a4fbd62eeb3283b95b48bbe4318
CHEMBL204_Ki,morgan,xgboost,42,label_permuted,20263944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL204_Ki--morgan--seed42.json,2919a82a05541833cec2ce5eaebd9528f6004b4ec35a1304503c3ab1046173b4
CHEMBL204_Ki,morgan,mlp,11,trained,,3,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL204_Ki--morgan--seed11.pt,c1fac99609344a3504a6fc4a375005e5187a131e2c54b6f883358d0e25ea2384
CHEMBL204_Ki,morgan,mlp,11,label_permuted,20263913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL204_Ki--morgan--seed11.pt,54fc01774a069e86e3c4ab13098fdc5725613f40aacf4debd6bd85f64c0e6b10
CHEMBL204_Ki,morgan,mlp,23,trained,,11,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL204_Ki--morgan--seed23.pt,7e896771261402c1cf35df16f953b40dd9d1cd5385b078526bd9050b3d1f2301
CHEMBL204_Ki,morgan,mlp,23,label_permuted,20263925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL204_Ki--morgan--seed23.pt,3db6ccf03df127f96a30f2a5257c14eaf99f7863b15a3850a79b9b86af705e1b
CHEMBL204_Ki,morgan,mlp,42,trained,,51,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL204_Ki--morgan--seed42.pt,0c67c2371f505f96bbdc76484ed1af58cd64feabafbc38851df7286c02467fdd
CHEMBL204_Ki,morgan,mlp,42,label_permuted,20263944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL204_Ki--morgan--seed42.pt,3f91358c4db4745e82d39b67c3069ee6ef45ee85f559e2089f2edc8f474edc86
CHEMBL2047_EC50,morgan,xgboost,11,trained,,120,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2047_EC50--morgan--seed11.json,a2e9ff83a4893c878162675c0dd32e204e702cc86acfa501bf6bbcffa91564cb
CHEMBL2047_EC50,morgan,xgboost,11,label_permuted,20264913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2047_EC50--morgan--seed11.json,a0511dc84869c09bc818cd26b6c9d8fa9dfc59f14224ad07e434b809a016e3cb
CHEMBL2047_EC50,morgan,xgboost,23,trained,,101,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2047_EC50--morgan--seed23.json,6050a524901f650048ebbfc7a32a65f2d8dd380bb959908497f10d7e6dc4d6e1
CHEMBL2047_EC50,morgan,xgboost,23,label_permuted,20264925.0,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2047_EC50--morgan--seed23.json,03c51acf515479032d9cbbc8504aa93afcf8cf0e9099e286984143a201cb6e03
CHEMBL2047_EC50,morgan,xgboost,42,trained,,106,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2047_EC50--morgan--seed42.json,0047969aefac6c8aa418fa2a4d3e0ed10c905388930dcf7930c4912c564b9bdb
CHEMBL2047_EC50,morgan,xgboost,42,label_permuted,20264944.0,57,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2047_EC50--morgan--seed42.json,54f9710b5f4fddfc26b67f19f0b38866c35c7faf93c1d55f17b60e17f6c15333
CHEMBL2047_EC50,morgan,mlp,11,trained,,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2047_EC50--morgan--seed11.pt,426267fd7c4592b5d90226272d5f055aba34c1316789c833fbcfd05c6d32f1bd
CHEMBL2047_EC50,morgan,mlp,11,label_permuted,20264913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2047_EC50--morgan--seed11.pt,551175e838a0ef18f5e6796a3605a3353939173365f4675ccb1355aa91ac8e06
CHEMBL2047_EC50,morgan,mlp,23,trained,,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2047_EC50--morgan--seed23.pt,6495634709d938ad2637b7b8130dcce23b53863a457053b13e45de6e1e61ae57
CHEMBL2047_EC50,morgan,mlp,23,label_permuted,20264925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2047_EC50--morgan--seed23.pt,c5430f76f12080f058d2c22c3e5a70d277d55093b64c3c8d515a963dc5c6ec71
CHEMBL2047_EC50,morgan,mlp,42,trained,,2,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2047_EC50--morgan--seed42.pt,2427df5d9cd8c7fe1aff7e22d77a107f07794c08c7e70f7ebba67dec7a54812c
CHEMBL2047_EC50,morgan,mlp,42,label_permuted,20264944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2047_EC50--morgan--seed42.pt,86bf4e98cd7ed750c3f8d30f42af202dbae88a6e49ef710ced5c4459bd84159f
CHEMBL214_Ki,morgan,xgboost,11,trained,,871,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL214_Ki--morgan--seed11.json,6d7996b75c1f7e6bf4738d11590e2fc875aab54c39c5b74d85c3ed904870f2a4
CHEMBL214_Ki,morgan,xgboost,11,label_permuted,20265913.0,4,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL214_Ki--morgan--seed11.json,e8e7743253c4af9cb6cff51e5285999a5b4ad88ed803d06031ebf8a8d525fe71
CHEMBL214_Ki,morgan,xgboost,23,trained,,861,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL214_Ki--morgan--seed23.json,3ece0bc6c110a96ab9366d81661245788b31dba0c3e29c9d51e26c9696625d23
CHEMBL214_Ki,morgan,xgboost,23,label_permuted,20265925.0,8,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL214_Ki--morgan--seed23.json,e7d380e3e527c7afcf3b626b96ed95224dea97b5d3b672e1b02244246c106143
CHEMBL214_Ki,morgan,xgboost,42,trained,,994,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL214_Ki--morgan--seed42.json,7bbcb3fdf72af6853762f6e9ab983ab7c36152841df3d6a8417c452038a609a9
CHEMBL214_Ki,morgan,xgboost,42,label_permuted,20265944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL214_Ki--morgan--seed42.json,c89d2909dddb536126bdd9bfaedc621828948b020ab8369d025863c8d7721afc
CHEMBL214_Ki,morgan,mlp,11,trained,,7,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL214_Ki--morgan--seed11.pt,9ed5370fb2b1b1367285d5fba2ceed606c7cc98b6fd8b906fb629742041800b5
CHEMBL214_Ki,morgan,mlp,11,label_permuted,20265913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL214_Ki--morgan--seed11.pt,a396aa5582ad3852e429c7de87c54997f63f809c1bee390e020e1674c41a6e0c
CHEMBL214_Ki,morgan,mlp,23,trained,,22,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL214_Ki--morgan--seed23.pt,fe6b2aef09c4cf4f8fdefcfba300251555c00adf229829f3c2c8669128b3676c
CHEMBL214_Ki,morgan,mlp,23,label_permuted,20265925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL214_Ki--morgan--seed23.pt,50ef0e5c06bb12fbf58d991f8c452f032da1e255b50d4fd1f79b866abfbe8732
CHEMBL214_Ki,morgan,mlp,42,trained,,17,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL214_Ki--morgan--seed42.pt,850ee8d6fdce9f977f083fe8d65d73c39058981f3d1201b45fbadc5f80014b7c
CHEMBL214_Ki,morgan,mlp,42,label_permuted,20265944.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL214_Ki--morgan--seed42.pt,6b97d0f03325096cc40f353f1a4e6d0241d522ff25df37386846270edd42dc86
CHEMBL2147_Ki,morgan,xgboost,11,trained,,125,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2147_Ki--morgan--seed11.json,913c9efc9b93d4452abb8a9c886031002e208429d8f3b4b243c9044efc68a291
CHEMBL2147_Ki,morgan,xgboost,11,label_permuted,20266913.0,29,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2147_Ki--morgan--seed11.json,90e9b1c41aadc9c23c07cf8f3629715a106089dd3fc5682d70f9555ded42953d
CHEMBL2147_Ki,morgan,xgboost,23,trained,,193,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2147_Ki--morgan--seed23.json,d5c9f2210ac71e2cd70bdc227ad592ac4447b06b2570d443c34aa3e5223c1da1
CHEMBL2147_Ki,morgan,xgboost,23,label_permuted,20266925.0,34,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2147_Ki--morgan--seed23.json,4cf68eb10ee441d1a15e0049b08f305fcd36602d925d5c3d29ed0b8327fa5448
CHEMBL2147_Ki,morgan,xgboost,42,trained,,95,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL2147_Ki--morgan--seed42.json,82acda9728473a6f7acfb14a85d7081003cf0dbcf3f6fd5a1a01ba893f3fac0b
CHEMBL2147_Ki,morgan,xgboost,42,label_permuted,20266944.0,3,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL2147_Ki--morgan--seed42.json,817ffacdc3621595be7590804ed978446d83251aa560b2c2756d806a8be6249c
CHEMBL2147_Ki,morgan,mlp,11,trained,,6,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2147_Ki--morgan--seed11.pt,510c3f68d1be7d7be1847216fa212f09e5f4cf128c75c48adc58802b2a520b1b
CHEMBL2147_Ki,morgan,mlp,11,label_permuted,20266913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2147_Ki--morgan--seed11.pt,98e98067eeca5c393405b70377853a02d9fea2fe0335225dbfbf76fa647a3085
CHEMBL2147_Ki,morgan,mlp,23,trained,,6,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2147_Ki--morgan--seed23.pt,36c928e0f07eeb40f9bc00dbe4eeecc8689e9805f8097e970300c9e8d4110bef
CHEMBL2147_Ki,morgan,mlp,23,label_permuted,20266925.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2147_Ki--morgan--seed23.pt,c0e361758cedc259815720adb46c6ffd261073fccb57d02e459c2abc0fb87310
CHEMBL2147_Ki,morgan,mlp,42,trained,,13,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL2147_Ki--morgan--seed42.pt,7dcfcacee6c9dd949bcf13376ec582dd6382df6bf3b22d98bbfed373a43fa66c
CHEMBL2147_Ki,morgan,mlp,42,label_permuted,20266944.0,84,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL2147_Ki--morgan--seed42.pt,7d520690966ddd4e977ee976b760083dab6571972ed04db0d0030a33b9266a10
CHEMBL218_EC50,morgan,xgboost,11,trained,,123,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL218_EC50--morgan--seed11.json,34ac74fd91eca68eeddd208472cc05557854afa6b954cbec563c062e99a6d065
CHEMBL218_EC50,morgan,xgboost,11,label_permuted,20267913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL218_EC50--morgan--seed11.json,077a049b2864671150e21ee5db3ee58764638aac0befc96e63dcb5c89a3dc087
CHEMBL218_EC50,morgan,xgboost,23,trained,,36,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL218_EC50--morgan--seed23.json,50d487cebd6b1977b3cd2836a9bb1de7fa742f40f17c025aa0b77df9b2ed4fe8
CHEMBL218_EC50,morgan,xgboost,23,label_permuted,20267925.0,19,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL218_EC50--morgan--seed23.json,b757c1cb85682ac9b319041c48274d8a91859778ddb87a1b2e14093d2fbf7452
CHEMBL218_EC50,morgan,xgboost,42,trained,,58,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--xgboost--CHEMBL218_EC50--morgan--seed42.json,144c94c48f5cddaa5046cdc8d611f10426e7f9c01061f40a33b5be27d214a968
CHEMBL218_EC50,morgan,xgboost,42,label_permuted,20267944.0,5,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--xgboost--CHEMBL218_EC50--morgan--seed42.json,8ca5cd9ba37f0f16af0a63c77819f7f34e345047016bad09e941c97dd38f1736
CHEMBL218_EC50,morgan,mlp,11,trained,,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\trained--mlp--CHEMBL218_EC50--morgan--seed11.pt,152eead9cd9777f825c57483abe0664a58a2150d009a93aa5e7f13bfd2fe6637
CHEMBL218_EC50,morgan,mlp,11,label_permuted,20267913.0,0,research_v2\artifacts\experiment\xai_sanity_cliffs_full_v1\full\sanity_heads\models\label_permuted--mlp--CHEMBL218_EC50--morgan--seed11.pt,151beefababedbdcbdd867d68472e71ab440790103dbc16950e577b94d842309
